-183.800, 80.200, 0.000,  0.000
-183.800, 80.200, 0.000,  0.016
-183.800, 80.200, 0.000,  0.049
-183.800, 80.200, 0.000,  0.082
-183.800, 80.200, -0.017,  0.115
-183.800, 80.200, -0.001,  0.148
-183.800, 80.199, -0.004,  0.181
-183.800, 80.198, -0.005,  0.214
-183.800, 80.198, -0.005,  0.247
-183.801, 80.197, -0.003,  0.280
-183.801, 80.196, -0.000,  0.313
-183.801, 80.195, 0.004,  0.346
-183.801, 80.194, 0.010,  0.379
-183.801, 80.193, 0.022,  0.412
-183.801, 80.191, 0.048,  0.445
-183.801, 80.187, 0.096,  0.478
-183.801, 80.183, 0.125,  0.511
-183.800, 80.179, 0.134,  0.544
-183.799, 80.173, 0.186,  0.577
-183.798, 80.167, 0.190,  0.610
-183.795, 80.159, 0.224,  0.643
-183.792, 80.150, 0.274,  0.676
-183.788, 80.141, 0.275,  0.709
-183.784, 80.131, 0.287,  0.742
-183.779, 80.122, 0.287,  0.775
-183.773, 80.113, 0.285,  0.808
-183.767, 80.103, 0.296,  0.841
-183.759, 80.092, 0.354,  0.874
-183.751, 80.082, 0.348,  0.907
-183.743, 80.071, 0.330,  0.940
-183.735, 80.061, 0.323,  0.973
-183.727, 80.051, 0.319,  1.006
-183.718, 80.040, 0.354,  1.039
-183.708, 80.027, 0.402,  1.072
-183.698, 80.014, 0.408,  1.105
-183.687, 80.000, 0.456,  1.138
-183.676, 79.987, 0.437,  1.171
-183.664, 79.973, 0.438,  1.204
-183.653, 79.960, 0.450,  1.237
-183.641, 79.945, 0.469,  1.270
-183.629, 79.930, 0.490,  1.303
-183.616, 79.915, 0.518,  1.336
-183.603, 79.898, 0.541,  1.369
-183.590, 79.882, 0.556,  1.402
-183.577, 79.864, 0.578,  1.435
-183.563, 79.846, 0.608,  1.468
-183.549, 79.827, 0.647,  1.501
-183.535, 79.808, 0.661,  1.534
-183.521, 79.788, 0.657,  1.567
-183.507, 79.769, 0.657,  1.600
-183.493, 79.749, 0.658,  1.633
-183.479, 79.730, 0.662,  1.666
-183.465, 79.710, 0.668,  1.699
-183.451, 79.691, 0.677,  1.732
